"id","wave","age","modularity","puberty"
60,2,19.24,0.136896400142857,NA
46,3,19.34,0.173767977,NA
61,2,19.39,0.138105788,NA
45,3,19.42,0.1356939838,NA
68,1,19.43,0.149128139,NA
49,3,19.44,0.1098274488,NA
62,2,19.44,0.108004899857143,NA
47,3,19.55,0.1592422066,NA
69,1,19.56,0.147654806142857,NA
66,2,19.58,0.152082105285714,NA
63,2,19.61,0.146989649571429,NA
64,2,19.65,0.128945236714286,NA
65,2,19.66,0.149344352142857,NA
48,3,19.69,0.2001514434,NA
70,1,19.82,0.130085329142857,NA
71,1,19.82,0.165548983,NA
67,2,19.83,0.166887501571429,NA
50,3,19.94,0.167698016,NA
51,3,19.96,0.1676238306,NA
72,1,20.02,0.100002289714286,NA
52,3,20.16,0.1028286788,NA
53,3,20.19,0.1843690696,NA
73,1,20.24,0.167211063285714,NA
74,1,20.27,0.155168844857143,NA
55,3,20.44,0.1834879724,NA
58,3,20.48,0.1170106908,NA
57,3,20.65,0.1431813616,NA
54,3,20.67,0.1493560902,NA
75,1,20.68,0.126519312285714,NA
56,3,20.75,0.1398502524,NA
76,1,20.85,0.186470280428571,NA
59,3,21.12,0.1457817258,NA
60,3,21.22,0.0903406264,NA
61,3,21.39,0.1068897728,NA
62,3,21.45,0.13842801,NA
68,2,21.47,0.17494099,NA
63,3,21.55,0.1709273892,NA
69,2,21.58,0.142366781571429,NA
65,3,21.66,0.1304487304,NA
64,3,21.71,0.1417145188,NA
67,3,21.83,0.1697138778,NA
70,2,21.85,0.155986141,NA
71,2,21.87,0.170994445428571,NA
66,3,21.87,0.1709539392,NA
72,2,22.05,0.139475355571429,NA
77,1,22.18,0.156535624428571,NA
73,2,22.21,0.151987759142857,NA
74,2,22.37,0.152786628,NA
78,1,22.51,0.174852489285714,NA
75,2,22.66,0.175042617285714,NA
79,1,22.79,0.142751002,NA
76,2,22.9,0.162391767857143,NA
68,3,23.49,0.1744172084,NA
69,3,23.67,0.1211458256,NA
71,3,23.89,0.1504714958,NA
70,3,23.96,0.1461716676,NA
72,3,24.15,0.1189884138,NA
77,2,24.23,0.156493496142857,NA
80,1,24.27,0.136130921428571,NA
81,1,24.32,0.138314277714286,NA
73,3,24.33,0.1263607436,NA
74,3,24.39,0.1632727618,NA
75,3,24.75,0.1098362702,NA
79,2,24.83,0.127821287142857,NA
76,3,24.96,0.190143079,NA
78,2,24.98,0.144115527,NA
80,2,26.25,0.115104224428571,NA
77,3,26.35,0.125272401,NA
